order,part,chapter,page_start,page_end
1,Part One: THE BEGINNING,Out of Chaos,19,20
2,Part One: THE BEGINNING,The First Order,21,22
3,Part One: THE BEGINNING,The Second Order,23,47
4,Part Two: THE BEGINNING,Clash of the Titans,48,58
5,Part Two: THE BEGINNING,The Third Order,59,98
6,Part One: THE TOYS OF ZEUS,Prometheus,99,110
7,Part One: THE TOYS OF ZEUS,The Punishments,111,123
8,Part One: THE TOYS OF ZEUS,Persephone and the Chariot,124,129
9,Part One: THE TOYS OF ZEUS,Cupid and Psyche,130,153
10,Part Two: THE TOYS OF ZEUS,Mortals,154,158
11,Part Two: THE TOYS OF ZEUS,Phaeton,159,169
12,Part Two: THE TOYS OF ZEUS,Cadmus,170,183
13,Part Two: THE TOYS OF ZEUS,Twice Born,184,193
14,Part Two: THE TOYS OF ZEUS,The Beautiful and the Damned,194,198
15,Part Two: THE TOYS OF ZEUS,The Doctor and the Crow,199,203
16,Part Two: THE TOYS OF ZEUS,Crime and Punishment,204,209
17,Part Two: THE TOYS OF ZEUS,Sisyphus,210,223
18,Part Two: THE TOYS OF ZEUS,Hubris,224,230
19,Part Two: THE TOYS OF ZEUS,Arachne,231,236
20,Part Two: THE TOYS OF ZEUS,More Metamorphoses,237,247
21,Part Two: THE TOYS OF ZEUS,Eos and Tithonus,248,253
22,Part Two: THE TOYS OF ZEUS,The Bloom of Youth,254,257
23,Part Two: THE TOYS OF ZEUS,Echo and Narcissus,258,268
24,Part Two: THE TOYS OF ZEUS,Lovers,269,271
25,Part Two: THE TOYS OF ZEUS,Galateas,272,281
26,Part Two: THE TOYS OF ZEUS,Arion and the Dolphin,282,289
27,Part Two: THE TOYS OF ZEUS,"Philemon and Baucis, or Hospitality Rewarded",290,295
28,Part Two: THE TOYS OF ZEUS,Phrygia and the Gordian Knot,296,297
29,Part Two: THE TOYS OF ZEUS,Midas,298,306
